ano,nome,funcao,tipo_atividade,local,link
2021,XV Women in Information Technology (WIT),Participante,Divulgação Científica,Online,https://sol.sbc.org.br/index.php/wit/article/view/15862
2021,Campus Party Goiás,Participante,Construção humana,Online,
2021,V Ada Lovelace Day,Organização,Promoção de eventos,Online,
2021,As relações de gênero na Computação (INF Conectado),Participante,Construção humana,Online,
2021,XII Feira de Ciência e Tecnologia,Participante,Construção humana,Online,
2021,XVIII Congresso Latino-Americano de Mulheres na Computação (LAWCC),Participante,Divulgação Científica,Online,https://ceur-ws.org/Vol-3000/paper195.pdf
2021,IV Workshop ADAs,Participante,Capacitação Tecnológica,Online,
2021,Lives #ComunidadeMDC,Organização,Promoção de eventos,Online,
2021,XXXII Simpósio Brasileiro de Informática na Educação (SBIE),Participante,Divulgação Científica,Online,https://sol.sbc.org.br/index.php/sbie/article/view/18154
2020,Acolhimento de Calouras,Organização,Promoção de eventos,IF Goiano - Campus Ceres
2020,Ação em comemoração Dia das Mulheres e Meninas na Ciência,Participante,Construção humana,IF Goiano - Campus Ceres,
2020,Semana de Luta das Mulheres,Participante,Construção humana,IF Goiano - Campus Ceres,
2020,#MDCEEMCASA,Organização,Construção humana,Online,
2020,Curso Online de Canva,Organização,Capacitação Tecnológica,Online,
2020,Campus Party Goiás,Participante,Construção humana,Online,
2020,#AmeliasEmCasa,Participante,Construção humana,Online,
2020,IV Ada Lovelace Day,Organização,Promoção de eventos,Online,
2020,XVII Semana Nacional de Ciência e Tecnologia,Participante,Construção humana,Online,
2020,IX Seminário Interno de Iniciação Científica (SIIC),Participante,Divulgação Científica,IF Goiano - Campus Ceres,
2020,XIV Women in Information Technology (WIT),Participante,Divulgação Científica,Online,https://sol.sbc.org.br/index.php/wit/article/view/11304/11167;https://sol.sbc.org.br/index.php/wit/article/view/11310/11173
2020,XVII LatinoWare,Participante,Capacitação Tecnológica,Online,
2020,XXI Feira de Ciência e Tecnologia,Participante,Construção humana,Online,
2020,Live das Meninas Cientistas IFG,Participante,Construção humana,Online,
2019,Acolhimento de Calouras,Organização,Promoção de eventos,IF Goiano - Campus Ceres,
2019,Women Techmakers,Participante,Viagem Técnica,Goiânia - GO,
2019,I Colóquio da LAAD sobre o Dia da Mulher,Participante,Construção humana,Goiânia - GO
2019,9º Computer on the Beach,Participante,Divulgação Científica,Itajaí - SC,https://siaiap32.univali.br/seer/index.php/acotb/article/view/14454
2019,III IntegraTec,Participante,Capacitação Tecnológica,IF Goiano - Campus Ceres,
2019,Mostra Científica da III Semana Acadêmica,Participante,Divulgação Científica,IF Goiano - Campus Ceres,
2019,Copa do Mundo de Futebol Feminino,Organização,Promoção de eventos,IF Goiano - Campus Ceres,
2019,VIII Seminário Interno de Iniciação Científica (SIIC),Participante,Divulgação Científica,IF Goiano - Campus Ceres,
2019,XIII Women in Information Technology (WIT),Participante,Divulgação Científica,Belém - PA,https://doi.org/10.5753/wit.2019.6714
2019,III Ada Lovelace Day,Organização,Promoção de eventos,IF Goiano - Campus Ceres,
