ano,referencia,alcance,autoria,link
2023,"SILVA,Maria Luiza Fernandes; FARIAS, Sara Luiz de; SANTANA, Thalia Santos de; BRAGA, Ramayane Bonacin; BRAGA, Adriano Honorato. MENINAS DIGITAIS NO CERRADO: INCENTIVANDO MULHERES NA COMPUTAÇÃO POR MEIO DA DIVULGAÇÃO CIENTÍFICA EM MÍDIAS SOCIAIS. V Integra IF Goiano, Setembro, 2023.",Nacional,Maria Luiza Fernandes Silva; Sara Luiz de Farias; Thalia Santos de Santana; Ramayane Bonacin Braga; Adriano Honorato Braga,https://repositorio.ifgoiano.edu.br/bitstream/prefix/5161/1/e-book_Anais%20do%20V%20Integra%20IF%20Goiano%3A%20Inclus%C3%A3o%20e%20Sustentabilidade.pdf
2023,"CAMARGO,Letícia Santos; SOUSA, Marcos de Moraes; BRAGA, Ramayane Bonacin. Contribuições do projeto Meninas Digitais no Cerrado no âmbito do IF Goiano - Campus Ceres. V Integra IF Goiano, Setembro, 2023.",Nacional,Letícia Santos Camargo; Marcos de Moraes Sousa; Ramayane Bonacin Braga,https://repositorio.ifgoiano.edu.br/bitstream/prefix/5161/1/e-book_Anais%20do%20V%20Integra%20IF%20Goiano%3A%20Inclus%C3%A3o%20e%20Sustentabilidade.pdf
2022,"FARIAS,Sara Luiz de; SANTANA, Thalia Santos de; BRAGA, Ramayane Bonacin; GARCIA, Gabryella da Silva; LOUZADA, Natália do Carmo; BRAGA, Adriano Honorato. A relevância de projetos como o Meninas Digitais no Cerrado para a diversidade de gênero na computação brasileira. In: Anais do Computer on the Beach , v. 13, 2022. p. 359-362. ISSN 2358-0852.",Nacional,Sara Luiz de Farias; Thalia Santos de Santana; Ramayane Bonacin Braga; Gabryella da Silva Garcia; Natália do Carmo Louzada; Adriano Honorato Braga,https://periodicos.univali.br/index.php/acotb/article/view/18841
2022,"GARCIA,Gabryella da S.; FARIAS, Sara L. de; SILVA, Maria Alice N.; CAMARGO, Letícia S.; SANTANA, Thalia S. de; BRAGA, Ramayane B.; BRAGA, Adriano H.; LOUZADA, Natália do C. Fortalecendo Laços entre Egressas de Cursos de Tecnologia da Informação e um Projeto de Empoderamento Feminino. In: WOMEN IN INFORMATION TECHNOLOGY (WIT) , 16.,2022, Niterói. Anais [...]. Porto Alegre: Sociedade Brasileira de Computação, 2022. p. 56-66. ISSN 2763-8626.",Nacional,Gabryella da Silva Garcia; Sara Luiz de Farias; Maria Alice Nunes Silva; Letícia Santos Camargo; Thalia Santos de Santana; Ramayane Bonacin Braga; Adriano Honorato Braga; Natália do Carmo Louzada,https://sol.sbc.org.br/index.php/wit/article/view/20859
2022,"BRAGA,Ramayane; SOUSA, Marcos; SÃO BERNARDO, Mirelle. O PROJETO MENINAS DIGITAIS NO CERRADO: AÇÕES DE EXTENSÃO NO PERÍODO DE PANDEMIA. Ciclo Revista – Práticas educacionais durante a pandemia: vivências e aprendizados , v. 06, n. 01, 2022. p. 262-272.",Nacional,Ramayane Bonacin Braga; Marcos de Moraes Sousa; Mirelle Amaral de São Bernardo,https://periodicos.ifgoiano.edu.br/ciclo/issue/view/84/61#page=262
2021,"SILVA,Maria Alice N.; SANTANA, Thalia S.; BRAGA, Adriano H. Uma análise do rendimento escolar por área de conhecimento como forma de desmistificação de estereótipos de gênero em Computação. In: Simpósio Brasileiro de Informática na Educação , 32., 2021, Online. Anais [...]. Porto Alegre: Sociedade Brasileira de Computação, 2021. p. 1330-1339.",Nacional,Maria Alice Nunes Silva; Thalia Santos de Santana; Adriano Honorato Braga,https://sol.sbc.org.br/index.php/sbie/article/view/18154
2021,"SANTANA,Thalia Santos de; BRAGA, Adriano Honorato. A scientific research overview at the Brazilian Computer Society Congress: a feminine perspective. Proceedings XIII Congress of Latin American Women in Computing 2021 , October 25–29, 2021, San José, Costa Rica. CEUR Workshop Proceedings (CEUR-WS.org), p. 91-112.",Internacional,Thalia Santos de Santana; Adriano Honorato Braga,https://ceur-ws.org/Vol-3000/paper195.pdf
2021,"FARIAS,Sara Luiz de; NUNES, Maria Isabela Silva; SANTANA, Thalia Santos de; BRAGA, Ramayane Bonacin; BRAGA, Adriano Honorato; LOUZADA, Natália do Carmo. A interdisciplinaridade em um curso de extensão como forma de empoderamento feminino na computação. In: WOMEN IN INFORMATION TECHNOLOGY (WIT) , 15., 2021, Evento Online. Anais [...]. Porto Alegre: Sociedade Brasileira de Computação, 2021. p. 260-264. ISSN 2763-8626.",Nacional,Sara Luiz de Farias; Maria Isabela Silva Nunes; Thalia Santos de Santana; Ramayane Bonacin Braga; Adriano Honorato Braga; Natália do Carmo Louzada,https://sol.sbc.org.br/index.php/wit/article/view/15862
2021,"LOPES,Láyza Ferreira; SANTANA, Thalia Santos de; BRAGA, Adriano Honorato. UMA ANÁLISE POR GÊNERO DE ESTUDANTES DOS CURSOS DE INFORMÁTICA NA PLATAFORMA NILO PEÇANHA. In: Resumos Publicados - III Integra IF Goiano , 2021.",Nacional,Láyza Ferreira Lopes; Thalia Santos de Santana; Adriano Honorato Braga,https://eventos.ifgoiano.edu.br/media/trabalhos/Corrigido_-_Trabalho_L%C3%A1yza_Lopes_-_Integra_IF_Goiano_2021.docx.pdf
2021,"NUNES,Maria Isabela Silva; FARIAS, Sara Luiz de; LOUZADA, Natália do Carmo; SANTANA, Thalia Santos de; BRAGA, Ramayane Bonacin; BRAGA, Adriano Honorato. Êxitos e desafios na experiência de extensão online: Curso Meninas Digitais no Cerrado ""Trabalhando o empoderamento feminino por meio da história das mulheres na computação"". In: IV Encontro de Licenciaturas e Pesquisa em Educação (Elped) , Ciclo Revista: Experiências em Formação no IF Goiano, v. 5, n. 1, 2021.",Nacional,Maria Isabela Silva Nunes; Sara Luiz de Farias; Natália do Carmo Louzada; Thalia Santos de Santana; Ramayane Bonacin Braga; Adriano Honorato Braga,https://elped.ifgoiano.edu.br/
2021,"NUNES,Maria Isabela Silva; FARIAS, Sara Luiz de; BRAGA, Adriano Honorato; SANTANA, Thalia Santos de; BRAGA, Ramayane Bonacin; LOUZADA, Natália do Carmo. Promoção da equidade de gênero por meio de ações extensionistas das Meninas Digitais no Cerrado em tempos de Pandemia. In: Anais do Computer on the Beach , v. 12, 2021. p. 596-599. ISSN 2358-0852.",Nacional,Maria Isabela Silva Nunes; Sara Luiz de Farias; Adriano Honorato Braga; Thalia Santos de Santana; Ramayane Bonacin Braga; Natália do Carmo Louzada,https://siaiap32.univali.br/seer/index.php/acotb/article/view/17484
